@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
'Private room','Eixample','0','4.5','2','1.0','0','5','10'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','7','11'
'Private room','Sants-Montjuïc','0','4.0','2','1.0','0','3','10'
'Entire home/apt','Eixample','0','4.5','10','6.0','1','7','11'
'Private room','Eixample','0','3.5','2','1.0','0','7','10'
'Private room','Eixample','0','4.5','2','1.0','0','4','8'
'Entire home/apt','Eixample','0','4.0','10','4.0','1','6','12'
'Entire home/apt','Eixample','0','5.0','4','2.0','0','5','9'
'Private room','Gràcia','0','4.5','2','1.0','0','9','11'
'Entire home/apt','Eixample','2','4.5','16','5.0','0','8','11'
'Private room','Eixample','1','4.5','1','1.0','0','7','13'
'Private room','Horta-Guinardó','0','4.5','2','1.0','0','11','12'
'Entire home/apt','Ciutat Vella','1','4.5','4','2.0','0','5','10'
'Private room','Eixample','0','4.5','2','1.0','0','7','10'
'Entire home/apt','Ciutat Vella','1','5.0','4','2.0','0','5','12'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','11'
'Private room','Eixample','0','5.0','2','1.0','0','7','11'
'Private room','Sant Martí','0','4.5','2','1.0','0','9','14'
'Entire home/apt','Sant Martí','0','4.0','7','2.0','0','6','15'
'Entire home/apt','Gràcia','0','4.5','5','2.0','0','9','8'
'Entire home/apt','Eixample','0','4.5','8','4.0','1','7','11'
'Entire home/apt','Sant Martí','0','4.5','4','2.0','0','10','13'
'Private room','Sarrià-Sant Gervasi','0','5.0','3','1.0','0','9','8'
'Entire home/apt','Eixample','1','4.5','8','4.0','0','7','10'
'Entire home/apt','Ciutat Vella','0','4.0','2','1.0','0','5','11'
'Entire home/apt','Sant Martí','0','4.5','5','3.0','0','11','17'
'Entire home/apt','Eixample','3','5.0','5','2.0','0','8','12'
'Private room','Gràcia','0','4.5','2','1.0','0','8','10'
'Private room','Eixample','1','4.5','1','1.0','0','4','9'
'Private room','Sants-Montjuïc','3','4.5','3','1.0','0','4','8'
'Private room','Sants-Montjuïc','0','5.0','1','1.0','0','3','8'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','6','12'
'Entire home/apt','Eixample','0','4.5','2','0.0','0','6','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','6','13'
'Private room','Les Corts','0','4.5','1','1.0','0','6','5'
'Private room','Les Corts','0','4.5','1','1.0','0','4','5'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','11'
'Private room','Gràcia','0','5.0','1','1.0','0','10','8'
'Entire home/apt','Ciutat Vella','0','4.0','3','1.0','0','5','13'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','4','1.0','0','10','7'
'Private room','Eixample','0','4.5','3','1.0','0','4','10'
'Entire home/apt','Horta-Guinardó','0','4.5','5','1.0','0','11','11'
'Entire home/apt','Sant Martí','0','4.5','6','2.0','0','7','15'
'Entire home/apt','Eixample','1','5.0','6','2.0','1','6','11'
'Entire home/apt','Sant Martí','0','5.0','3','2.0','0','8','16'
'Private room','Sants-Montjuïc','0','2.5','1','1.0','0','3','6'
'Entire home/apt','Sant Andreu','0','4.0','5','3.0','0','14','14'
'Entire home/apt','Eixample','1','4.0','6','4.0','0','4','9'
'Entire home/apt','Eixample','0','5.0','8','4.0','2','7','9'
'Private room','Sant Martí','1','4.5','2','1.0','0','10','13'
'Entire home/apt','Eixample','0','4.0','4','2.0','0','9','12'
'Private room','Nou Barris','0','5.0','2','1.0','0','13','11'
'Entire home/apt','Ciutat Vella','1','4.0','2','1.0','0','5','10'
'Entire home/apt','Sant Martí','0','5.0','6','3.0','0','7','15'
'Private room','Eixample','0','4.0','3','1.0','0','4','9'
'Entire home/apt','Sants-Montjuïc','0','4.5','6','2.0','0','3','10'
'Private room','Sant Martí','0','4.5','1','1.0','0','6','14'
'Private room','Eixample','0','4.5','2','1.0','0','4','9'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','6'
'Entire home/apt','Eixample','1','4.5','4','2.0','0','7','12'
'Private room','Horta-Guinardó','0','4.5','2','1.0','0','13','10'
'Entire home/apt','Sant Martí','0','4.0','10','4.0','0','7','13'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','11'
'Entire home/apt','Ciutat Vella','0','3.5','4','1.0','0','5','11'
'Private room','Nou Barris','0','4.5','1','1.0','0','14','13'
'Private room','Eixample','0','5.0','2','1.0','0','4','9'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','13'
'Entire home/apt','Eixample','1','4.5','4','2.0','0','5','9'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','7'
'Entire home/apt','Gràcia','0','5.0','2','2.0','0','9','10'
'Private room','Eixample','0','4.5','1','1.0','0','8','12'
'Private room','Horta-Guinardó','0','5.0','2','1.0','0','11','13'
'Private room','Sants-Montjuïc','0','4.0','2','2.0','0','2','6'
'Entire home/apt','Sants-Montjuïc','2','4.5','7','3.0','0','3','5'
'Private room','Les Corts','0','4.5','1','1.0','0','4','5'
'Entire home/apt','Ciutat Vella','1','4.5','3','1.0','0','4','12'
'Entire home/apt','Sants-Montjuïc','0','4.0','7','2.0','0','4','5'
'Entire home/apt','Ciutat Vella','0','5.0','2','1.0','0','6','12'
'Private room','Eixample','0','5.0','1','1.0','0','5','7'
'Entire home/apt','Horta-Guinardó','0','5.0','2','1.0','0','10','11'
'Entire home/apt','Gràcia','0','4.5','4','1.0','0','9','11'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','6','12'
'Private room','Eixample','0','4.0','1','1.0','0','6','8'
'Entire home/apt','Ciutat Vella','0','3.5','10','3.0','0','4','11'
'Private room','Eixample','2','4.5','2','1.0','0','6','10'
'Private room','Eixample','0','4.5','1','1.0','0','4','9'
'Private room','Eixample','0','4.5','1','1.0','0','9','13'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','14'
'Private room','Horta-Guinardó','0','5.0','1','1.0','0','10','11'
'Entire home/apt','Eixample','0','5.0','6','2.0','0','6','11'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','8','12'
'Private room','Eixample','0','4.5','2','1.0','0','5','10'
'Entire home/apt','Ciutat Vella','0','4.5','6','2.0','0','6','12'
'Entire home/apt','Gràcia','2','4.5','2','1.0','0','9','9'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','9'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','12'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','7','11'
'Private room','Eixample','0','5.0','1','1.0','0','7','13'
'Entire home/apt','Gràcia','0','4.5','12','5.0','1','8','10'
'Entire home/apt','Eixample','1','4.5','7','3.0','0','6','9'
'Entire home/apt','Sants-Montjuïc','0','4.0','6','3.0','0','3','10'
'Entire home/apt','Ciutat Vella','0','4.5','2','1.0','0','6','12'
'Private room','Sants-Montjuïc','0','5.0','1','1.0','0','3','7'
'Private room','Eixample','0','5.0','2','1.0','0','8','12'
'Private room','Horta-Guinardó','0','4.5','1','1.0','0','14','8'
'Entire home/apt','Sant Martí','0','4.0','10','4.0','0','6','13'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','11'
'Entire home/apt','Ciutat Vella','1','5.0','6','3.0','0','5','11'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','7'
'Entire home/apt','Eixample','3','4.5','5','1.0','0','6','12'
'Private room','Eixample','0','4.5','2','1.0','0','8','13'
'Private room','Sants-Montjuïc','0','3.5','2','1.0','0','3','9'
'Private room','Sant Martí','0','5.0','2','1.0','0','11','15'
'Entire home/apt','Eixample','0','4.0','2','1.0','0','5','9'
'Private room','Les Corts','0','4.5','1','1.0','0','6','7'
'Private room','Ciutat Vella','1','5.0','2','1.0','0','4','11'
'Entire home/apt','Eixample','3','4.5','8','3.0','0','9','12'
'Entire home/apt','Eixample','0','4.0','2','1.0','0','8','13'
'Entire home/apt','Ciutat Vella','0','5.0','2','0.0','0','5','12'
'Private room','Eixample','0','5.0','2','1.0','0','8','13'
'Entire home/apt','Ciutat Vella','0','4.0','4','1.0','0','6','12'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','11'
'Entire home/apt','Ciutat Vella','3','4.5','5','3.0','0','6','12'
'Private room','Eixample','0','4.5','2','1.0','0','4','8'
'Entire home/apt','Les Corts','0','4.5','5','3.0','0','6','6'
'Entire home/apt','Ciutat Vella','1','4.5','6','3.0','0','6','12'
'Private room','Eixample','1','5.0','2','1.0','0','4','10'
'Private room','Sant Martí','0','4.5','2','1.0','0','8','16'
'Entire home/apt','Gràcia','0','4.5','3','2.0','0','8','9'
'Entire home/apt','Ciutat Vella','1','4.5','2','1.0','0','5','11'
'Entire home/apt','Gràcia','2','5.0','4','1.0','0','11','8'
'Entire home/apt','Ciutat Vella','0','4.5','7','2.0','0','5','14'
'Private room','Ciutat Vella','0','3.5','2','1.0','0','4','12'
'Private room','Gràcia','0','4.0','3','1.0','0','8','10'
'Private room','Ciutat Vella','3','4.5','2','1.0','0','5','11'
'Private room','Eixample','0','4.0','4','1.0','0','6','10'
'Private room','Sant Martí','0','4.5','4','1.0','0','9','14'
'Private room','Horta-Guinardó','0','4.5','1','1.0','0','10','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','12'
'Entire home/apt','Sant Martí','0','4.5','10','3.0','1','9','15'
'Entire home/apt','Eixample','0','4.5','5','2.0','0','4','10'
'Private room','Sant Martí','0','5.0','2','1.0','0','10','15'
'Private room','Eixample','1','4.5','2','1.0','0','7','12'
'Entire home/apt','Nou Barris','1','5.0','5','3.0','0','14','11'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','4','10'
'Shared room','Eixample','0','4.5','10','1.0','1','6','10'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','11'
'Entire home/apt','Sant Martí','2','5.0','4','0.0','0','10','13'
'Entire home/apt','Eixample','0','5.0','6','2.0','1','8','12'
'Entire home/apt','Eixample','1','4.5','6','2.0','0','7','8'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','12'
'Shared room','Eixample','0','4.5','1','1.0','0','8','13'
'Private room','Sant Martí','0','5.0','4','2.0','0','9','14'
'Private room','Eixample','1','4.0','6','1.0','0','4','9'
'Entire home/apt','Ciutat Vella','0','4.5','4','0.0','0','5','11'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','9'
'Private room','Sant Martí','0','4.5','4','1.0','0','9','17'
'Private room','Eixample','0','4.5','2','1.0','0','9','12'
'Entire home/apt','Sant Martí','0','4.0','6','2.0','0','10','13'
'Entire home/apt','Horta-Guinardó','0','4.5','6','3.0','1','13','6'
'Entire home/apt','Ciutat Vella','0','3.5','5','1.0','0','4','14'
'Private room','Gràcia','0','4.5','5','2.0','0','9','10'
'Private room','Eixample','0','4.5','6','3.0','0','8','12'
'Private room','Eixample','1','5.0','1','1.0','0','4','10'
'Private room','Gràcia','0','5.0','1','1.0','0','9','9'
'Entire home/apt','Eixample','2','5.0','6','2.0','1','6','13'
'Private room','Sant Martí','0','4.5','4','1.0','0','8','16'
'Private room','Eixample','0','4.5','2','1.0','0','9','12'
'Private room','Sant Martí','0','5.0','1','1.0','0','10','17'
'Private room','Eixample','0','4.5','1','1.0','0','8','12'
'Entire home/apt','Gràcia','0','5.0','7','3.0','0','9','10'
'Private room','Ciutat Vella','0','4.5','4','1.0','0','5','13'
'Private room','Eixample','0','4.5','2','1.0','0','6','9'
'Entire home/apt','Ciutat Vella','0','4.5','6','3.0','0','5','13'
'Private room','Sants-Montjuïc','0','4.5','1','1.0','0','1','7'
'Private room','Sarrià-Sant Gervasi','0','5.0','2','1.0','0','8','8'
'Private room','Sant Martí','0','4.5','2','1.0','0','10','15'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','10'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','6','10'
'Entire home/apt','Sants-Montjuïc','0','3.5','13','4.0','1','4','7'
'Entire home/apt','Ciutat Vella','4','4.5','4','1.0','0','5','13'
'Entire home/apt','Ciutat Vella','0','4.0','6','2.0','0','5','12'
'Private room','Sants-Montjuïc','2','4.5','2','1.0','0','4','5'
'Private room','Eixample','1','4.5','2','1.0','0','6','10'
'Private room','Eixample','0','4.5','2','1.0','0','5','9'
'Private room','Sarrià-Sant Gervasi','1','4.5','2','1.0','0','9','8'
'Entire home/apt','Eixample','0','4.5','8','4.0','0','4','9'
'Private room','Gràcia','0','4.5','1','1.0','0','10','10'
'Private room','Eixample','0','4.5','1','1.0','0','5','8'
'Private room','Eixample','0','5.0','2','1.0','0','8','12'
'Private room','Sants-Montjuïc','0','4.0','3','1.0','0','3','7'
'Entire home/apt','Horta-Guinardó','2','4.5','5','2.0','0','11','12'
'Entire home/apt','Sant Martí','0','4.5','7','3.0','0','5','16'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','11'
'Private room','Eixample','1','4.5','2','1.0','0','4','9'
'Entire home/apt','Ciutat Vella','0','5.0','4','2.0','0','4','14'
'Entire home/apt','Sants-Montjuïc','0','5.0','6','3.0','0','3','12'
'Private room','Eixample','0','4.5','2','1.0','0','4','9'
'Private room','Sarrià-Sant Gervasi','1','5.0','2','1.0','0','8','8'
'Private room','Eixample','0','5.0','2','1.0','0','6','9'
'Entire home/apt','Sant Martí','0','4.0','4','2.0','0','9','17'
'Entire home/apt','Sant Martí','0','4.5','4','1.0','0','6','15'
'Entire home/apt','Eixample','0','5.0','7','3.0','0','4','10'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','14'
'Private room','Sant Martí','0','4.0','2','1.0','0','12','16'
'Private room','Gràcia','0','5.0','2','1.0','0','8','10'
'Entire home/apt','Ciutat Vella','0','4.5','7','3.0','0','4','11'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','10','12'
'Private room','Sants-Montjuïc','0','4.5','1','1.0','0','4','5'
'Private room','Sant Martí','1','5.0','2','1.0','0','7','16'
'Private room','Eixample','0','4.5','2','1.0','0','5','10'
'Private room','Horta-Guinardó','0','4.5','2','1.0','0','14','10'
'Private room','Ciutat Vella','1','5.0','2','1.0','0','5','13'
'Private room','Horta-Guinardó','0','5.0','2','1.0','0','11','12'
'Private room','Sants-Montjuïc','0','4.0','2','1.0','0','3','7'
'Entire home/apt','Horta-Guinardó','2','4.5','2','0.0','0','12','10'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','11'
'Entire home/apt','Sants-Montjuïc','0','4.0','3','1.0','0','3','9'
'Entire home/apt','Ciutat Vella','0','4.0','2','1.0','0','6','13'
'Entire home/apt','Horta-Guinardó','0','4.5','5','2.0','0','12','11'
'Entire home/apt','Eixample','0','5.0','7','4.0','1','6','10'
'Private room','Ciutat Vella','1','4.0','2','1.0','0','5','13'
'Entire home/apt','Eixample','3','5.0','5','3.0','0','4','11'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','11'
'Entire home/apt','Horta-Guinardó','1','5.0','4','2.0','0','11','10'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','12'
'Private room','Eixample','0','5.0','2','1.0','0','5','10'
'Entire home/apt','Sants-Montjuïc','0','3.5','5','3.0','0','3','9'
'Entire home/apt','Sant Martí','0','4.0','4','1.0','0','10','17'
'Private room','Eixample','0','4.0','2','1.0','0','9','12'
'Entire home/apt','Ciutat Vella','1','5.0','10','4.0','2','4','12'
'Entire home/apt','Gràcia','1','4.5','5','3.0','0','8','9'
'Shared room','Sants-Montjuïc','0','1.0','1','1.0','0','2','6'
'Entire home/apt','Eixample','0','4.5','6','4.0','0','4','9'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','13'
'Private room','Eixample','0','4.5','2','1.0','0','4','9'
'Entire home/apt','Eixample','1','4.5','4','1.0','0','6','11'
'Entire home/apt','Eixample','0','5.0','4','1.0','0','7','12'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Entire home/apt','Eixample','0','3.5','4','1.0','0','8','13'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','13'
'Private room','Sant Martí','1','4.5','1','1.0','0','8','14'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','7'
'Entire home/apt','Gràcia','1','4.5','4','3.0','0','8','10'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','11'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','4','7'
'Entire home/apt','Ciutat Vella','1','4.5','4','1.0','0','5','13'
'Entire home/apt','Ciutat Vella','0','4.0','4','1.0','0','6','13'
'Entire home/apt','Ciutat Vella','1','5.0','2','1.0','0','6','13'
'Entire home/apt','Eixample','0','4.5','4','2.0','0','8','12'
'Entire home/apt','Ciutat Vella','0','4.0','12','3.0','1','4','12'
'Entire home/apt','Eixample','0','4.0','4','2.0','0','8','12'
'Entire home/apt','Eixample','0','4.0','6','4.0','0','10','12'
'Private room','Ciutat Vella','2','4.5','1','1.0','0','6','12'
'Entire home/apt','Ciutat Vella','0','5.0','6','3.0','1','4','12'
'Private room','Sant Martí','0','5.0','2','1.0','0','8','16'
'Entire home/apt','Sants-Montjuïc','2','4.5','3','0.0','0','3','11'
'Private room','Eixample','0','4.5','1','1.0','0','5','8'
'Private room','Eixample','0','4.5','1','1.0','0','5','8'
'Entire home/apt','Sant Andreu','0','4.5','4','1.0','0','14','14'
'Private room','Eixample','0','4.0','3','1.0','0','8','13'
'Entire home/apt','Ciutat Vella','0','4.5','3','0.0','0','5','13'
'Entire home/apt','Gràcia','0','4.5','7','2.0','0','8','10'
'Entire home/apt','Eixample','1','4.5','4','1.0','0','9','13'
'Entire home/apt','Eixample','0','4.5','6','2.0','1','8','12'
'Private room','Sants-Montjuïc','0','4.5','1','0.0','0','3','8'
'Private room','Nou Barris','0','5.0','1','1.0','0','16','12'
'Private room','Eixample','2','5.0','2','1.0','0','4','10'
'Private room','Sant Martí','0','4.5','2','1.0','0','8','15'
'Entire home/apt','Sant Martí','0','4.5','5','3.0','0','9','17'
'Private room','Eixample','0','4.5','1','1.0','0','8','13'
'Entire home/apt','Eixample','4','4.5','5','1.0','0','6','12'
'Private room','Sant Martí','0','5.0','1','1.0','0','9','17'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','13'
'Entire home/apt','Gràcia','1','4.5','4','1.0','0','9','9'
'Entire home/apt','Eixample','2','5.0','8','4.0','0','4','10'
'Entire home/apt','Sant Martí','1','4.0','6','3.0','0','7','15'
'Entire home/apt','Ciutat Vella','1','5.0','2','1.0','0','4','14'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','10'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','9','4.0','1','8','7'
'Private room','Les Corts','0','5.0','1','1.0','0','5','6'
'Entire home/apt','Gràcia','0','4.5','4','2.0','0','9','10'
'Entire home/apt','Sants-Montjuïc','1','4.5','2','0.0','0','3','5'
'Private room','Eixample','0','4.5','2','1.0','0','6','10'
'Entire home/apt','Sant Andreu','1','4.5','4','2.0','0','12','12'
'Entire home/apt','Ciutat Vella','0','4.5','6','2.0','0','4','12'
'Entire home/apt','Eixample','1','4.5','4','3.0','0','7','13'
'Private room','Ciutat Vella','4','4.5','2','1.0','0','6','12'
'Entire home/apt','Sants-Montjuïc','0','4.5','4','2.0','0','4','6'
'Entire home/apt','Eixample','3','4.5','4','1.0','0','7','13'
'Private room','Ciutat Vella','2','4.0','2','1.0','0','5','11'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','7','12'
'Private room','Eixample','0','5.0','2','1.0','0','9','12'
'Private room','Gràcia','0','4.5','4','1.0','0','8','10'
'Entire home/apt','Eixample','0','4.5','7','2.0','0','4','9'
'Private room','Les Corts','0','5.0','2','1.0','0','5','7'
'Private room','Sants-Montjuïc','1','4.5','2','1.0','0','4','6'
'Entire home/apt','Eixample','0','5.0','6','3.0','1','6','9'
'Private room','Gràcia','0','4.0','2','1.0','0','10','10'
'Entire home/apt','Eixample','1','4.5','6','2.0','0','4','8'
'Private room','Eixample','0','3.5','2','1.0','0','8','13'
'Entire home/apt','Sants-Montjuïc','3','4.5','6','2.0','0','4','6'
'Entire home/apt','Ciutat Vella','0','5.0','5','2.0','0','6','12'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','11'
'Entire home/apt','Ciutat Vella','0','5.0','4','3.0','1','5','13'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','12'
'Private room','Sant Andreu','2','4.0','2','1.0','0','15','14'
'Private room','Horta-Guinardó','0','5.0','2','1.0','0','13','9'
'Private room','Eixample','0','5.0','2','1.0','0','6','12'
'Entire home/apt','Sants-Montjuïc','0','4.5','4','2.0','0','3','11'
'Private room','Eixample','2','4.5','2','1.0','0','4','9'
'Entire home/apt','Eixample','0','4.5','2','1.0','0','6','9'
'Entire home/apt','Sant Martí','0','4.0','4','2.0','0','6','15'
'Entire home/apt','Ciutat Vella','0','4.5','2','1.0','0','5','14'
'Entire home/apt','Sant Martí','0','4.5','5','2.0','0','7','14'
'Entire home/apt','Sant Martí','0','4.0','6','3.0','0','10','18'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','14'
'Private room','Ciutat Vella','0','3.0','2','1.0','0','4','12'
'Private room','Ciutat Vella','1','5.0','2','1.0','0','5','13'
'Entire home/apt','Gràcia','3','4.5','7','3.0','0','8','10'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','11'
'Private room','Ciutat Vella','0','4.5','4','2.0','0','5','10'
'Entire home/apt','Eixample','0','4.5','8','4.0','1','9','13'
'Entire home/apt','Eixample','1','4.0','2','1.0','0','5','9'
'Private room','Ciutat Vella','2','4.5','2','1.0','0','4','12'
'Private room','Eixample','1','5.0','1','1.0','0','7','13'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','14'
'Private room','Sant Martí','0','5.0','1','1.0','0','8','15'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','11'
'Private room','Ciutat Vella','0','4.5','1','1.0','0','5','11'
'Entire home/apt','Eixample','0','4.5','8','3.0','0','9','12'
'Private room','Ciutat Vella','8','4.5','2','1.0','0','5','12'
'Entire home/apt','Eixample','0','4.5','6','3.0','0','8','12'
'Entire home/apt','Eixample','2','4.5','4','3.0','0','7','13'
'Entire home/apt','Eixample','1','5.0','4','2.0','0','9','13'
'Private room','Eixample','0','5.0','2','1.0','0','6','9'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','13'
'Private room','Eixample','0','4.5','2','1.0','0','6','10'
'Entire home/apt','Gràcia','2','5.0','4','2.0','0','8','10'
'Private room','Eixample','0','5.0','1','1.0','0','5','10'
'Entire home/apt','Gràcia','0','4.5','2','2.0','0','10','8'
'Entire home/apt','Sants-Montjuïc','0','3.5','8','3.0','0','3','6'
'Entire home/apt','Ciutat Vella','0','4.5','2','0.0','0','6','13'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','5','12'
'Entire home/apt','Sant Andreu','0','4.0','7','4.0','0','14','14'
'Entire home/apt','Gràcia','2','5.0','4','2.0','0','8','9'
'Shared room','Sant Martí','1','4.5','1','1.0','0','10','15'
'Private room','Horta-Guinardó','0','4.5','1','1.0','0','12','12'
'Entire home/apt','Sant Martí','0','5.0','6','3.0','0','8','16'
'Private room','Eixample','0','4.5','2','1.0','0','10','12'
'Private room','Eixample','2','4.5','3','1.0','0','7','11'
'Private room','Sants-Montjuïc','0','4.5','4','2.0','0','3','7'
'Entire home/apt','Sants-Montjuïc','0','4.5','2','1.0','0','2','6'
'Entire home/apt','Eixample','0','4.5','2','1.0','0','4','10'
'Private room','Sant Martí','0','4.5','2','1.0','0','10','13'
'Entire home/apt','Sant Martí','0','5.0','6','3.0','0','9','16'
'Private room','Eixample','0','5.0','2','1.0','0','5','9'
'Private room','Eixample','1','4.5','1','1.0','0','4','9'
'Entire home/apt','Sant Martí','0','5.0','4','2.0','0','9','17'
'Private room','Sants-Montjuïc','0','5.0','1','1.0','0','1','7'
'Entire home/apt','Sant Martí','1','4.5','14','4.0','0','7','15'
'Entire home/apt','Sant Martí','0','5.0','4','2.0','0','8','17'
'Entire home/apt','Ciutat Vella','1','4.5','11','5.0','0','5','11'
'Private room','Sant Martí','1','4.0','2','1.0','0','10','14'
'Entire home/apt','Sant Martí','0','3.5','3','0.0','0','11','18'
'Private room','Eixample','0','5.0','3','1.0','0','6','9'
'Private room','Eixample','0','2.0','2','1.0','0','7','13'
'Private room','Gràcia','0','4.5','1','1.0','0','10','8'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','10'
'Private room','Les Corts','0','4.5','1','1.0','0','6','4'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','11'
'Entire home/apt','Gràcia','0','4.5','4','2.0','0','9','10'
'Entire home/apt','Sants-Montjuïc','0','4.5','6','2.0','0','4','7'
'Entire home/apt','Eixample','0','4.5','5','3.0','0','8','13'
'Private room','Ciutat Vella','0','4.5','1','1.0','0','6','12'
'Private room','Gràcia','0','4.5','2','1.0','0','9','10'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Private room','Sant Martí','0','4.5','2','1.0','0','10','14'
'Private room','Sant Martí','0','4.0','1','1.0','0','11','15'
'Private room','Horta-Guinardó','0','4.5','2','1.0','0','12','7'
'Private room','Eixample','0','4.5','2','1.0','0','6','10'
'Entire home/apt','Sants-Montjuïc','0','4.5','4','2.0','0','4','8'
'Entire home/apt','Gràcia','0','5.0','4','2.0','0','8','9'
'Private room','Sant Martí','0','4.0','2','1.0','0','6','14'
'Entire home/apt','Eixample','0','5.0','4','3.0','0','4','10'
'Entire home/apt','Sarrià-Sant Gervasi','0','4.5','6','3.0','0','8','8'
'Private room','Sant Martí','0','4.5','2','1.0','0','12','16'
'Private room','Eixample','0','4.5','2','1.0','0','7','9'
'Entire home/apt','Ciutat Vella','1','5.0','2','1.0','0','5','13'
'Entire home/apt','Horta-Guinardó','0','4.0','6','2.0','0','11','11'
'Private room','Ciutat Vella','1','4.5','2','1.0','0','5','13'
'Private room','Ciutat Vella','0','5.0','3','1.0','0','5','11'
'Private room','Ciutat Vella','0','2.0','4','1.0','0','4','11'
'Private room','Nou Barris','0','5.0','2','1.0','0','13','11'
'Entire home/apt','Eixample','0','4.5','2','2.0','0','7','10'
'Entire home/apt','Les Corts','0','4.5','4','2.0','0','6','6'
'Entire home/apt','Ciutat Vella','0','4.5','4','2.0','0','4','11'
'Private room','Eixample','0','4.0','2','1.0','0','7','11'
'Entire home/apt','Eixample','0','4.5','5','3.0','0','8','13'
'Entire home/apt','Eixample','0','5.0','4','1.0','0','4','10'
'Entire home/apt','Ciutat Vella','0','5.0','4','2.0','1','5','11'
'Entire home/apt','Ciutat Vella','2','4.5','10','4.0','0','5','14'
'Private room','Ciutat Vella','0','4.5','3','1.0','0','4','11'
'Entire home/apt','Eixample','2','5.0','5','3.0','0','4','11'
'Private room','Eixample','0','5.0','3','1.0','0','4','9'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','5','12'
'Private room','Ciutat Vella','0','4.0','2','1.0','0','5','12'
'Private room','Sant Martí','0','2.5','3','1.0','0','7','15'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','5'
'Private room','Ciutat Vella','0','5.0','3','1.0','0','6','13'
'Private room','Sants-Montjuïc','0','5.0','1','1.0','0','4','9'
'Private room','Sant Andreu','0','5.0','2','1.0','0','15','14'
'Private room','Sant Martí','0','4.5','2','1.0','0','8','16'
'Private room','Ciutat Vella','1','5.0','5','2.0','0','4','12'
